"Libellé";"Nuitées dans l'hôtellerie de plein air - Étrangers - Île-de-France";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Normandie";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Grand Est";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Bretagne";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Occitanie";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie de plein air - Étrangers - Corse";"Codes"
"idBank";"001711227";"";"001711222";"";"001739006";"";"001739018";"";"001739029";"";"001739041";"";"001711233";"";"001711221";"";"001739053";"";"001739065";"";"001739077";"";"001711236";"";"001711224";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017-12";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-11";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-10";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-09";"94.98";"A";"64.11";"A";"131.17";"A";"108.59";"A";"96.4";"A";"161.58";"A";"132.07";"A";"180.33";"A";"656.52";"A";"914.19";"A";"320.48";"A";"872.68";"A";"238.84";"A"
"2017-08";"305.93";"A";"352.98";"A";"597.42";"A";"512.21";"A";"296.22";"A";"508.43";"A";"923.37";"A";"1049.0";"A";"2719.49";"A";"2350.72";"A";"1707.31";"A";"1771.36";"A";"583.63";"A"
"2017-07";"245.42";"A";"270.06";"A";"486.84";"A";"435.6";"A";"252.88";"A";"429.87";"A";"712.27";"A";"800.9";"A";"2169.82";"A";"2422.98";"A";"1581.45";"A";"1813.34";"A";"480.81";"A"
"2017-06";"136.64";"A";"107.23";"A";"224.78";"A";"185.58";"A";"151.3";"A";"269.82";"A";"232.88";"A";"313.76";"A";"799.23";"A";"1166.25";"A";"531.82";"A";"935.96";"A";"276.71";"A"
"2017-05";"126.67";"A";"46.55";"A";"100.46";"A";"82.57";"A";"101.05";"A";"145.21";"A";"70.33";"A";"95.11";"A";"261.22";"A";"358.94";"A";"193.12";"A";"358.06";"A";"67.13";"A"
