"Libellé";"Nuitées dans l'hôtellerie de plein air - Français - Île-de-France";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Normandie";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Grand Est";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Bretagne";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Occitanie";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie de plein air - Français - Corse";"Codes"
"idBank";"001711204";"";"001711191";"";"001739005";"";"001739017";"";"001739028";"";"001739040";"";"001711210";"";"001711199";"";"001739052";"";"001739064";"";"001739076";"";"001711213";"";"001711201";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017-12";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-11";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-10";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-09";"63.76";"A";"77.69";"A";"113.09";"A";"159.92";"A";"104.33";"A";"121.57";"A";"557.66";"A";"561.79";"A";"1333.65";"A";"1469.73";"A";"511.84";"A";"853.81";"A";"304.98";"A"
"2017-08";"96.76";"A";"369.41";"A";"513.09";"A";"780.79";"A";"451.1";"A";"442.43";"A";"3900.75";"A";"3458.34";"A";"8106.51";"A";"7776.18";"A";"3164.74";"A";"3799.31";"A";"1013.2";"A"
"2017-07";"114.31";"A";"330.68";"A";"436.13";"A";"616.76";"A";"370.44";"A";"353.92";"A";"3049.49";"A";"2717.08";"A";"6025.42";"A";"5759.27";"A";"2392.51";"A";"3000.5";"A";"849.53";"A"
"2017-06";"97.52";"A";"137.1";"A";"165.09";"A";"239.1";"A";"163.26";"A";"159.07";"A";"801.94";"A";"760.17";"A";"1467.32";"A";"1703.45";"A";"807.27";"A";"1012.06";"A";"289.88";"A"
"2017-05";"88.99";"A";"118.16";"A";"123.57";"A";"228.34";"A";"149.64";"A";"120.87";"A";"669.04";"A";"644.29";"A";"1052.54";"A";"1048.14";"A";"559.16";"A";"688.36";"A";"112.2";"A"
"2017-04";"86.05";"A";"95.92";"A";"54.97";"A";"218.04";"A";"137.97";"A";"90.47";"A";"778.99";"A";"721.45";"A";"1258.1";"A";"1023.78";"A";"384.62";"A";"744.89";"A";"77.73";"A"
"2017-03";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-02";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2017-01";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2016-12";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2016-11";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2016-10";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2016-09";"52.87";"A";"80.24";"A";"104.28";"A";"177.14";"A";"106.54";"A";"120.67";"A";"578.39";"A";"580.15";"A";"1320.43";"A";"1349.3";"A";"500.84";"A";"790.45";"A";"282.86";"A"
"2016-08";"106.32";"A";"356.85";"A";"500.36";"A";"756.65";"A";"435.73";"A";"422.58";"A";"3864.42";"A";"3208.32";"A";"7849.76";"A";"7541.95";"A";"3063.7";"A";"3640.17";"A";"963.49";"A"
"2016-07";"111.81";"A";"321.37";"A";"414.76";"A";"577.32";"A";"336.18";"A";"326.57";"A";"3154.81";"A";"2565.47";"A";"6008.11";"A";"5885.5";"A";"2418.82";"A";"2882.78";"A";"840.21";"A"
"2016-06";"87.14";"A";"80.84";"A";"112.52";"A";"177.25";"A";"105.45";"A";"110.29";"A";"626.44";"A";"560.77";"A";"1256.62";"A";"1561.54";"A";"634.01";"A";"911.0";"A";"287.3";"A"
"2016-05";"82.75";"A";"109.27";"A";"109.55";"A";"200.52";"A";"124.4";"A";"104.54";"A";"606.74";"A";"527.55";"A";"943.33";"A";"998.65";"A";"536.1";"A";"670.01";"A";"106.07";"A"
"2016-04";"84.47";"E";"54.97";"E";"42.98";"E";"168.69";"E";"87.42";"A";"63.9";"A";"568.08";"E";"475.79";"E";"861.88";"E";"794.73";"E";"270.78";"E";"600.34";"A";"56.14";"E"
"2016-03";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2016-02";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2016-01";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2015-12";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2015-11";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2015-10";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2015-09";"59.38";"A";"77.83";"A";"94.29";"A";"144.25";"A";"74.47";"A";"110.1";"A";"504.43";"A";"519.92";"A";"1179.78";"A";"1248.15";"A";"417.15";"A";"768.7";"A";"287.54";"A"
"2015-08";"95.61";"A";"329.52";"A";"500.17";"A";"763.65";"A";"413.31";"A";"418.65";"A";"3945.39";"A";"3246.41";"A";"7909.18";"A";"7755.66";"A";"3024.22";"A";"3871.68";"A";"1006.11";"A"
"2015-07";"118.23";"A";"301.33";"A";"411.69";"A";"621.4";"A";"332.0";"A";"348.43";"A";"3097.39";"A";"2687.67";"A";"5826.28";"A";"5500.43";"A";"2261.63";"A";"2846.54";"A";"844.63";"A"
"2015-06";"106.34";"A";"108.34";"A";"135.7";"A";"198.57";"A";"108.52";"A";"128.7";"A";"668.7";"A";"618.88";"A";"1263.29";"A";"1434.59";"A";"649.32";"A";"835.76";"A";"257.21";"A"
"2015-05";"80.94";"A";"136.81";"A";"117.71";"A";"250.71";"A";"130.58";"A";"119.92";"A";"758.54";"A";"699.69";"A";"1154.73";"A";"1251.85";"A";"632.52";"A";"900.47";"A";"119.7";"A"
"2015-04";"63.66";"E";"58.43";"E";"35.69";"E";"187.71";"E";"73.38";"E";"58.01";"E";"588.65";"E";"525.76";"E";"856.05";"E";"736.07";"E";"271.96";"E";"636.75";"E";"52.31";"E"
"2015-03";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2015-02";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2015-01";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2014-12";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2014-11";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2014-10";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2014-09";"116.7";"A";"75.98";"A";"82.97";"A";"157.51";"A";"81.97";"A";"105.95";"A";"504.24";"A";"506.89";"A";"1137.13";"A";"1193.59";"A";"402.78";"A";"770.88";"A";"228.67";"A"
