"Libellé";"Nuitées dans l'hôtellerie - Étrangers - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Normandie";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Étrangers - Corse";"Codes"
"idBank";"001711089";"";"001711084";"";"001739000";"";"001739012";"";"001739024";"";"001739035";"";"001711095";"";"001711083";"";"001739047";"";"001739059";"";"001739071";"";"001711098";"";"001711086";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05";"3799.6";"P";"131.28";"P";"204.57";"P";"205.74";"P";"230.85";"P";"484.77";"P";"84.86";"P";"125.67";"P";"249.51";"P";"476.86";"P";"380.31";"P";"902.82";"P";"94.66";"P"
"2018-04";"3629.18";"A";"99.69";"A";"160.26";"A";"152.81";"A";"220.14";"A";"405.74";"A";"67.0";"A";"83.8";"A";"193.9";"A";"352.49";"A";"464.91";"A";"707.53";"A";"33.7";"A"
"2018-03";"3288.0";"A";"63.34";"A";"136.04";"A";"100.69";"A";"164.56";"A";"328.5";"A";"49.91";"A";"55.77";"A";"149.18";"A";"217.54";"A";"762.21";"A";"506.48";"A";"7.82";"A"
"2018-02";"2413.45";"A";"38.36";"A";"105.2";"A";"64.87";"A";"128.04";"A";"252.28";"A";"52.75";"A";"35.67";"A";"83.74";"A";"144.42";"A";"694.34";"A";"310.16";"A";"2.41";"A"
"2018-01";"2487.21";"A";"37.04";"A";"79.03";"A";"46.38";"A";"112.45";"A";"209.19";"A";"45.09";"A";"33.71";"A";"92.76";"A";"128.87";"A";"579.57";"A";"273.4";"A";"2.06";"A"
"2017-12";"2981.15";"A";"43.37";"A";"94.76";"A";"56.25";"A";"150.94";"A";"377.27";"A";"35.19";"A";"36.02";"A";"121.58";"A";"168.06";"A";"454.5";"A";"297.49";"A";"3.14";"A"
"2017-11";"2635.03";"A";"50.97";"A";"102.13";"A";"69.11";"A";"147.21";"A";"260.18";"A";"39.98";"A";"43.28";"A";"109.57";"A";"149.66";"A";"213.34";"A";"328.98";"A";"3.83";"A"
"2017-10";"3498.46";"A";"95.2";"A";"159.78";"A";"136.31";"A";"197.47";"A";"417.06";"A";"63.33";"A";"83.74";"A";"216.12";"A";"362.09";"A";"299.06";"A";"702.98";"A";"42.64";"A"
"2017-09";"3582.99";"A";"160.07";"A";"233.69";"A";"219.36";"A";"232.37";"A";"499.12";"A";"87.32";"A";"158.2";"A";"346.2";"A";"578.34";"A";"481.35";"A";"1065.19";"A";"149.49";"A"
"2017-08";"3765.12";"A";"244.16";"A";"294.5";"A";"324.91";"A";"296.45";"A";"645.02";"A";"119.4";"A";"253.5";"A";"501.94";"A";"683.88";"A";"670.92";"A";"1440.02";"A";"195.99";"A"
"2017-07";"4113.31";"A";"219.11";"A";"317.12";"A";"292.14";"A";"283.88";"A";"610.69";"A";"119.79";"A";"209.72";"A";"470.69";"A";"665.9";"A";"752.21";"A";"1446.98";"A";"168.81";"A"
"2017-06";"3682.59";"A";"149.1";"A";"225.38";"A";"233.21";"A";"232.98";"A";"467.18";"A";"95.04";"A";"145.7";"A";"297.6";"A";"500.04";"A";"496.25";"A";"1106.95";"A";"129.94";"A"
"2017-05";"3401.73";"A";"121.04";"A";"177.5";"A";"191.92";"A";"200.95";"A";"401.93";"A";"78.33";"A";"98.95";"A";"215.28";"A";"456.77";"A";"356.12";"A";"851.62";"A";"81.82";"A"
"2017-04";"3472.26";"A";"92.01";"A";"166.32";"A";"169.78";"A";"228.64";"A";"418.01";"A";"62.83";"A";"83.1";"A";"212.16";"A";"383.14";"A";"467.88";"A";"766.26";"A";"33.44";"A"
"2017-03";"2729.1";"A";"51.07";"A";"117.31";"A";"82.33";"A";"135.3";"A";"265.41";"A";"39.44";"A";"40.08";"A";"109.47";"A";"165.3";"A";"660.99";"A";"428.89";"A";"4.93";"A"
"2017-02";"2156.76";"A";"32.6";"A";"94.07";"A";"51.68";"A";"112.95";"A";"218.78";"A";"30.35";"A";"28.29";"A";"78.7";"A";"134.86";"A";"652.27";"A";"284.86";"A";"2.31";"A"
"2017-01";"2322.5";"A";"32.72";"A";"73.79";"A";"52.24";"A";"89.97";"A";"181.19";"A";"34.69";"A";"29.51";"A";"75.47";"A";"112.21";"A";"602.37";"A";"264.37";"A";"2.42";"A"
"2016-12";"2625.31";"A";"37.02";"A";"85.38";"A";"55.28";"A";"133.34";"A";"339.14";"A";"29.81";"A";"33.1";"A";"92.42";"A";"134.51";"A";"432.16";"A";"270.72";"A";"2.07";"A"
"2016-11";"2323.3";"A";"40.95";"A";"90.95";"A";"70.84";"A";"139.52";"A";"241.72";"A";"37.58";"A";"37.64";"A";"94.06";"A";"141.97";"A";"198.01";"A";"285.21";"A";"3.35";"A"
