"Libellé";"Nuitées dans l'hôtellerie - Français - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Français - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Français - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie - Français - Normandie";"Codes";"Nuitées dans l'hôtellerie - Français - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Français - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Français - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Français - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Français - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Français - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Français - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Français - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Français - Corse";"Codes"
"idBank";"001711066";"";"001711062";"";"001738999";"";"001739011";"";"001739023";"";"001739034";"";"001711072";"";"001711061";"";"001739046";"";"001739058";"";"001739070";"";"001711075";"";"001711053";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05";"2426.67";"P";"464.64";"P";"476.85";"P";"603.57";"P";"601.43";"P";"815.59";"P";"611.31";"P";"646.32";"P";"1217.16";"P";"1110.27";"P";"1356.11";"P";"1199.99";"P";"311.46";"P"
"2018-04";"2462.12";"A";"420.93";"A";"400.27";"A";"546.89";"A";"577.02";"A";"734.32";"A";"573.27";"A";"551.84";"A";"1091.46";"A";"955.46";"A";"1312.37";"A";"1107.88";"A";"156.78";"A"
"2018-03";"2671.91";"A";"342.79";"A";"414.3";"A";"445.37";"A";"524.85";"A";"699.66";"A";"469.12";"A";"476.93";"A";"962.14";"A";"796.92";"A";"1722.04";"A";"1027.02";"A";"42.67";"A"
"2018-02";"2276.45";"A";"274.76";"A";"340.01";"A";"361.79";"A";"442.51";"A";"597.22";"A";"394.33";"A";"375.33";"A";"709.13";"A";"679.61";"A";"1551.92";"A";"850.8";"A";"29.49";"A"
"2018-01";"2453.27";"A";"263.71";"A";"306.35";"A";"316.97";"A";"457.68";"A";"589.63";"A";"367.57";"A";"347.29";"A";"637.87";"A";"597.66";"A";"1271.09";"A";"754.81";"A";"24.82";"A"
"2017-12";"2655.76";"A";"297.19";"A";"338.16";"A";"368.23";"A";"501.89";"A";"928.05";"A";"391.57";"A";"379.62";"A";"718.16";"A";"668.17";"A";"1270.75";"A";"740.94";"A";"31.98";"A"
"2017-11";"2708.99";"A";"326.6";"A";"369.85";"A";"436.61";"A";"555.4";"A";"776.54";"A";"445.84";"A";"445.19";"A";"839.62";"A";"697.67";"A";"1113.5";"A";"791.97";"A";"42.37";"A"
"2017-10";"2701.4";"A";"405.76";"A";"449.53";"A";"522.27";"A";"603.49";"A";"849.84";"A";"512.84";"A";"553.45";"A";"1167.51";"A";"1027.6";"A";"1317.54";"A";"1125.72";"A";"184.71";"A"
"2017-09";"2457.28";"A";"434.84";"A";"491.42";"A";"553.37";"A";"618.07";"A";"872.7";"A";"613.33";"A";"657.08";"A";"1292.05";"A";"1197.92";"A";"1449.89";"A";"1302.12";"A";"401.71";"A"
"2017-08";"1929.61";"A";"494.16";"A";"539.67";"A";"654.85";"A";"560.03";"A";"884.34";"A";"750.62";"A";"877.86";"A";"1885.21";"A";"1742.38";"A";"1921.95";"A";"1925.5";"A";"485.88";"A"
"2017-07";"2476.3";"A";"519.82";"A";"551.07";"A";"605.89";"A";"588.29";"A";"861.2";"A";"669.3";"A";"715.28";"A";"1559.34";"A";"1400.22";"A";"1806.94";"A";"1622.75";"A";"385.09";"A"
"2017-06";"2638.82";"A";"467.49";"A";"500.66";"A";"573.38";"A";"613.79";"A";"865.35";"A";"644.35";"A";"651.68";"A";"1255.62";"A";"1127.91";"A";"1509.71";"A";"1278.61";"A";"360.01";"A"
"2017-05";"2541.97";"A";"442.91";"A";"474.61";"A";"559.78";"A";"601.58";"A";"843.12";"A";"556.51";"A";"626.24";"A";"1202.36";"A";"1054.41";"A";"1310.82";"A";"1240.47";"A";"294.42";"A"
"2017-04";"2471.69";"A";"428.11";"A";"431.36";"A";"570.99";"A";"612.36";"A";"774.96";"A";"573.52";"A";"607.0";"A";"1225.3";"A";"1006.39";"A";"1345.92";"A";"1245.49";"A";"162.45";"A"
"2017-03";"2580.36";"A";"333.03";"A";"390.42";"A";"443.09";"A";"557.8";"A";"694.98";"A";"451.74";"A";"488.63";"A";"922.57";"A";"762.87";"A";"1570.79";"A";"980.81";"A";"45.68";"A"
"2017-02";"2123.11";"A";"272.01";"A";"361.2";"A";"381.27";"A";"460.06";"A";"623.39";"A";"370.95";"A";"391.25";"A";"795.44";"A";"678.06";"A";"1693.33";"A";"863.21";"A";"31.46";"A"
"2017-01";"2422.07";"A";"248.85";"A";"308.47";"A";"319.66";"A";"450.35";"A";"559.9";"A";"353.95";"A";"339.41";"A";"619.64";"A";"565.87";"A";"1326.43";"A";"735.96";"A";"26.12";"A"
"2016-12";"2571.71";"A";"278.93";"A";"333.53";"A";"367.83";"A";"498.17";"A";"907.0";"A";"377.74";"A";"376.98";"A";"756.92";"A";"635.08";"A";"1253.44";"A";"748.66";"A";"32.85";"A"
"2016-11";"2497.97";"A";"303.67";"A";"378.21";"A";"402.77";"A";"526.95";"A";"718.18";"A";"426.21";"A";"410.87";"A";"829.46";"A";"676.4";"A";"1047.6";"A";"750.46";"A";"38.0";"A"
"2016-10";"2647.73";"A";"425.18";"A";"449.78";"A";"552.42";"A";"621.16";"A";"853.36";"A";"521.44";"A";"577.59";"A";"1228.04";"A";"1033.05";"A";"1333.28";"A";"1056.58";"A";"174.93";"A"
"2016-09";"2387.06";"A";"430.19";"A";"468.75";"A";"553.28";"A";"596.59";"A";"826.98";"A";"599.45";"A";"654.12";"A";"1303.73";"A";"1188.85";"A";"1419.45";"A";"1252.54";"A";"373.62";"A"
"2016-08";"1760.68";"A";"509.63";"A";"526.04";"A";"663.88";"A";"552.11";"A";"820.62";"A";"758.18";"A";"844.21";"A";"1868.47";"A";"1782.39";"A";"1886.7";"A";"1820.4";"A";"447.04";"A"
"2016-07";"2170.25";"A";"505.93";"A";"529.57";"A";"605.77";"A";"570.49";"A";"806.89";"A";"704.18";"A";"700.76";"A";"1537.83";"A";"1430.76";"A";"1796.22";"A";"1547.47";"A";"368.31";"A"
"2016-06";"2389.9";"A";"454.34";"A";"483.11";"A";"522.83";"A";"597.52";"A";"829.44";"A";"621.98";"A";"610.48";"A";"1186.89";"A";"1156.51";"A";"1463.41";"A";"1219.32";"A";"336.15";"A"
"2016-05";"2405.99";"A";"457.44";"A";"484.06";"A";"560.24";"A";"634.35";"A";"830.73";"A";"570.4";"A";"616.7";"A";"1209.33";"A";"1082.29";"A";"1383.36";"A";"1250.48";"A";"272.7";"A"
"2016-04";"2304.61";"A";"397.57";"A";"407.86";"A";"487.04";"A";"585.65";"A";"725.51";"A";"528.3";"A";"538.18";"A";"1092.72";"A";"953.71";"A";"1322.2";"A";"1107.33";"A";"132.94";"A"
"2016-03";"2421.03";"A";"351.41";"A";"395.11";"A";"444.35";"A";"570.46";"A";"708.78";"A";"462.74";"A";"478.7";"A";"910.85";"A";"780.1";"A";"1662.09";"A";"999.36";"A";"41.25";"A"
"2016-02";"2033.36";"A";"278.25";"A";"370.57";"A";"358.02";"A";"489.22";"A";"619.87";"A";"378.52";"A";"390.66";"A";"746.18";"A";"683.82";"A";"1702.25";"A";"879.88";"A";"29.56";"A"
"2016-01";"2202.84";"A";"249.22";"A";"294.43";"A";"306.14";"A";"475.35";"A";"536.84";"A";"343.05";"A";"324.65";"A";"608.74";"A";"559.54";"A";"1321.83";"A";"710.98";"A";"22.78";"A"
"2015-12";"2349.27";"A";"276.63";"A";"339.43";"A";"358.46";"A";"519.53";"A";"877.51";"A";"357.97";"A";"363.43";"A";"732.44";"A";"620.83";"A";"1212.1";"A";"673.98";"A";"28.84";"A"
"2015-11";"2265.0";"A";"275.62";"A";"345.31";"A";"365.94";"A";"544.02";"A";"657.61";"A";"379.99";"A";"382.65";"A";"756.47";"A";"635.11";"A";"969.39";"A";"694.38";"A";"36.17";"A"
"2015-10";"2679.42";"A";"406.44";"A";"441.6";"A";"490.25";"A";"620.27";"A";"804.24";"A";"478.87";"A";"520.09";"A";"1129.34";"A";"971.21";"A";"1243.53";"A";"1022.09";"A";"165.81";"A"
"2015-09";"2502.55";"A";"427.46";"A";"479.94";"A";"522.92";"A";"626.41";"A";"844.9";"A";"565.88";"A";"643.41";"A";"1280.48";"A";"1184.16";"A";"1423.34";"A";"1237.38";"A";"357.66";"A"
"2015-08";"1994.61";"A";"447.29";"A";"497.55";"A";"627.74";"A";"538.66";"A";"837.19";"A";"724.98";"A";"837.97";"A";"1837.6";"A";"1747.44";"A";"1893.62";"A";"1833.5";"A";"452.52";"A"
"2015-07";"2279.82";"A";"457.29";"A";"492.52";"A";"585.99";"A";"574.7";"A";"786.9";"A";"645.58";"A";"686.91";"A";"1454.35";"A";"1412.64";"A";"1715.18";"A";"1529.94";"A";"344.29";"A"
"2015-06";"2633.88";"A";"432.62";"A";"496.13";"A";"559.76";"A";"621.91";"A";"830.0";"A";"613.5";"A";"610.68";"A";"1231.64";"A";"1122.59";"A";"1469.87";"A";"1279.79";"A";"334.18";"A"
"2015-05";"2475.83";"A";"430.12";"A";"469.6";"A";"582.96";"A";"598.49";"A";"845.69";"A";"549.78";"A";"622.58";"A";"1217.67";"A";"1133.95";"A";"1329.26";"A";"1293.66";"A";"300.9";"A"
"2015-04";"2446.68";"A";"376.85";"A";"391.84";"A";"516.97";"A";"567.86";"A";"705.65";"A";"503.66";"A";"528.89";"A";"1095.73";"A";"927.92";"A";"1252.02";"A";"1097.06";"A";"119.8";"A"
"2015-03";"2408.12";"A";"313.86";"A";"371.56";"A";"423.32";"A";"526.18";"A";"660.85";"A";"408.92";"A";"459.98";"A";"858.19";"A";"725.93";"A";"1578.61";"A";"919.63";"A";"39.65";"A"
"2015-02";"2139.99";"A";"277.76";"A";"345.41";"A";"353.56";"A";"454.48";"A";"586.66";"A";"340.66";"A";"363.63";"A";"714.95";"A";"643.72";"A";"1614.34";"A";"847.34";"A";"27.83";"A"
"2015-01";"2304.2";"A";"240.39";"A";"294.08";"A";"304.43";"A";"448.16";"A";"546.4";"A";"329.26";"A";"315.62";"A";"605.74";"A";"570.59";"A";"1266.02";"A";"707.14";"A";"26.14";"A"
