,nights_CVL,nights_IDF,nights_NAQ,nights_PAC,nights_BRE,nights_OCC,nights_COR,nights_BFC,nights_GES,nights_ARA,nights_NOR,nights_PDL,nights_HDF
2018-01-01,302.3139720889991,4852.51427328697,729.9359822239189,962.5009360042554,381.21129923156593,700.6426904399136,29.680688617774763,392.7976106097429,802.1723874640304,1930.9176598337533,361.2388073009843,396.5349465430112,540.4991661442309
2018-02-01,327.2967738927937,4662.709430045912,864.635710665108,1142.4414250544653,440.6620142967413,858.4061929225155,41.899647424749645,465.09639689617575,904.0176075896816,2306.786502928429,414.3341338093756,417.32880407353997,576.0390072968003
2018-03-01,410.7632734536637,5765.848164567903,1058.1010074885594,1444.9070533815561,551.4553819999795,997.5413986205003,63.85707664733562,527.3219593794499,1045.6697094609772,2381.7720592803007,534.7858446744413,508.7495781921203,700.3048975087992
2018-04-01,507.4455343250231,6153.372177784254,1364.5991245226771,1831.0657911148414,670.5596740707074,1370.753890724428,190.32231011752071,589.2773958605326,1190.220005236206,1770.5884078683316,676.6133514585878,596.3564806530815,798.1407851504681
2018-05-01,595.2612102486883,6546.5139003131735,1462.41921014683,2169.370280391144,771.9727768758023,1583.927654186955,393.9424234213343,689.7421853455603,1350.8971078388574,1696.0568146340702,767.7184289176109,649.8129874988098,844.0873191455603
2018-06-01,637.0520287870871,6694.29220198643,1573.279591734857,2442.2755711826503,822.1556725651102,1678.863304316997,497.81477608670275,749.1454376378514,1388.4446613254931,2011.9710640625005,807.2465340724282,758.5287287698203,884.8130058248133
2018-07-01,737.1487188429954,6866.883077187738,1997.851243696678,2981.3617512459696,915.7740698084915,2073.813496240819,550.3127763263659,861.9347900584542,1476.2388987296422,2533.275541146112,901.9264972712238,801.118752354371,884.1375468069979
2018-08-01,745.7459070264133,6363.063832759393,2387.4142827476617,3324.643662567128,1136.7271994511807,2469.092752941465,682.9954591360922,855.5830730742088,1550.9567222530234,2633.453301294674,1001.367612791528,885.853643815884,855.6155462149188
2018-09-01,613.047954105109,6416.107120657146,1653.7197434164596,2368.7355485912594,845.6747949912597,1806.6769485742686,557.5798086164692,743.9045858092736,1438.9068203649927,1915.2358483161186,781.0259849839982,700.6449982732332,850.6688451377597
2018-10-01,516.9039918241406,6511.738583471955,1396.5473228963506,1723.979492037765,647.1501789984862,1411.1768455999206,236.37331881059058,627.6233980703338,1327.5792601290157,1602.4629206923487,658.8839555676798,578.1207255312837,803.9091168638594
2018-11-01,377.97629645475354,5355.938937087976,945.896185442906,1019.2378112876709,493.94013013637016,867.8768142391012,61.16106445248619,478.37221519715797,1050.6307273424366,1275.370465823558,485.2837018967353,473.87826336500234,678.0273654063567
2018-12-01,348.1602579735287,5710.910968785374,862.7390643529224,1014.6650576738988,448.8717837501045,848.4093933614566,53.617478178166266,450.27102091382795,1338.112665984318,1751.7720231327833,411.23974487044006,415.78654993805054,625.9332484158194
2019-01-01,316.01874439789856,4976.7794165377745,736.3641662687902,967.0887503167073,401.2357515747089,734.3366735896152,47.644744616811465,406.38057518832693,842.8599698386563,2014.6216213941054,385.8717560945388,421.9687270330986,557.8112106099603
2019-02-01,341.155183360309,4786.907646343152,883.7774284495946,1148.0222227839874,460.8157349981737,893.4624068885182,57.71635413077965,483.18515639465454,946.5269836265061,2374.191051683199,433.69204427971187,437.9872120140345,588.954512014099
2019-03-01,428.5520752873215,5936.983560238714,1090.780910601014,1476.908171552357,581.558682114724,1052.4209570644186,83.06300562892835,548.839253884031,1099.2879568723583,2358.19836562143,527.5838196225751,504.98290623492414,684.5026523211782
2019-04-01,521.6326719196317,6278.477432785568,1384.0035511069468,1837.2348642875531,690.9739410991544,1406.979793838916,204.76422169654012,606.7941445992939,1233.0520110562748,1781.5570612489896,686.7653834567442,607.1523812444723,793.3095885499304
2019-05-01,605.8472043010562,6625.615434345302,1468.5370798201918,2149.5978786103915,782.6980755595764,1601.4468281200293,403.91097994487376,702.0125430673626,1382.682854250103,1749.9857858577652,784.5332570069542,672.4281903893523,846.1274633029243
2019-06-01,655.3384405684183,6867.013554635236,1606.2642659935034,2474.5184175743443,852.6502982361772,1735.0910148221783,516.5444724670424,771.9880770754058,1443.176676716087,2089.006492683111,831.1812762257567,787.8588927490371,880.5801406720959
2019-07-01,751.8341365122137,6993.6085071473335,2017.545754281748,2987.592876169093,936.5797493799874,2111.3155457187468,564.8021185579605,879.8377161502499,1519.9838754517737,2607.855606507141,931.1838847997425,827.5757933547113,889.9441739245883
2019-08-01,764.3646305243448,6536.871859333482,2420.5892560802467,3356.8568879990785,1167.4827860854332,2526.1547023566077,702.0087272016251,878.8329188605529,1606.3264894788274,2683.1393191639872,1027.3402155747785,911.5480492759376,858.6603726042986
2019-09-01,624.2985449026397,6497.380586822488,1660.2189027880681,2348.9212270741145,856.9220112122625,1825.8684079217328,568.0576679705055,757.1907960406794,1471.9975611175623,1922.5855443029095,798.8480956828911,722.257801402695,859.5105335429483
2019-10-01,532.0878903354685,6640.094751854585,1416.5268826248985,1730.1409602608742,668.3473027223046,1449.9277941080782,251.4100530296733,646.2283162064482,1372.2919557126568,1608.3582474021591,679.5070670291252,598.8062482401742,807.7334053965102
2019-11-01,400.8606494488213,5577.916893299376,992.7415512588241,1077.3759543433143,534.9065873291352,945.3305831925292,85.12385461015745,507.37180275823135,1118.264586943026,1309.9287095440375,507.6494067500552,493.84081548138687,675.5021542853638
