,region,with_gdp,trend_model,lag,periods,MAE,RMSE,Max_error,MASE
0,ARA,False,ARIMA,12,6,63.28674188257892,80.4729283264861,0.06282258006383122,3.775090259460872
1,BFC,False,ARIMA,13,6,39.47662155472277,51.865493169622745,0.11287134553526045,11.881471114072509
2,BRE,False,ARIMA,14,6,792.5225749261758,1045.333759353567,2.9214507559210485,11.827543648964458
3,COR,False,Holt,1,6,14.002876069575471,17.782024820467036,0.04880207456016064,19.701593750074398
4,CVL,False,ARIMA,1,6,13.234664069499626,16.714164237659055,0.043429558531853166,15.37991436048511
5,GES,False,ARIMA,10,6,53.45691827970112,56.764359622844296,0.06463389413304081,10.929462147057462
6,HDF,False,ARIMA,13,6,33.73814638758859,41.16452560852772,0.08296114476282801,7.380052671730579
7,IDF,False,ARIMA,15,6,1576.9233866984437,1893.7300516838047,0.6626756169021939,0.9107688370713458
8,NAQ,False,ARIMA,14,6,94.39723109063408,112.1867034675044,0.10113838229843368,14.136004674674654
9,NOR,False,ARIMA,15,6,53.943097221958844,65.53018684198739,0.14193935096600654,8.435698254273964
10,OCC,False,Holt,15,6,87396.72473233995,148755.75431619154,530.2729624997694,11.449806168441356
11,PAC,False,ARIMA,13,6,124.48731749216793,162.35663840462706,0.12809246906088345,8.677343127482144
12,PDL,False,ARIMA,13,6,20.155783846792726,28.979261551466216,0.08454764040300376,5.336720888967382
