,region,with_gdp,trend_model,lag,periods,MAE,RMSE,Max_error,MASE
0,PDL,False,Holt,5,2,26.796351984610354,29.931306558402063,0.06919807742371237,8.235934731743367
1,PDL,False,Holt,5,3,28.924231278706078,41.75302247424275,0.13523471466539227,8.861571464421207
2,PDL,False,Holt,5,4,28.176104816756055,34.69069373155264,0.08743503043963566,9.39965098246088
3,PDL,False,Holt,5,5,50.309744116178145,56.563977458856634,0.11325673710747114,8.08635102897169
4,PDL,False,Holt,5,6,85.24884724358023,90.35150662421722,0.18702183693551716,7.461205417211105
5,PDL,False,Holt,6,2,26.79635198460812,29.93130655840031,0.06919807742371051,8.23593473174335
6,PDL,False,Holt,6,3,28.1127587416033,34.8820957220337,0.10101644373046781,8.721301187668061
7,PDL,False,Holt,6,4,28.10372851807982,34.03701458277278,0.09078331022264875,9.272341103571158
8,PDL,False,Holt,6,5,49.68755561848415,55.47806705539334,0.1089425594007133,8.070916177168126
9,PDL,False,Holt,6,6,85.24431785434062,89.60663263416983,0.17548894560381706,7.5452271964249595
10,PDL,False,Holt,7,2,26.796351984608595,29.931306558400856,0.06919807742371303,8.235934731743361
11,PDL,False,Holt,7,3,28.112758741669797,34.88209572209691,0.10101644373069385,8.721301187668852
12,PDL,False,Holt,7,4,23.301497873840642,29.41244656030433,0.09416003050248585,9.311767576844915
13,PDL,False,Holt,7,5,48.72778739151647,53.74605954863701,0.1046005150910472,7.891363233862834
14,PDL,False,Holt,7,6,85.20326876268739,89.18738351082602,0.1766143656208857,7.412923764441086
15,PDL,False,Holt,8,2,26.796351984608577,29.931306558400824,0.06919807742371281,8.235934731743354
16,PDL,False,Holt,8,3,28.112758741666497,34.88209572209346,0.10101644373068042,8.721301187668939
17,PDL,False,Holt,8,4,29.29422730525558,36.700155008832326,0.10960505490744292,9.553539218867687
18,PDL,False,Holt,8,5,48.36025439124253,54.6519331869851,0.10657422319692239,7.567045734664953
19,PDL,False,Holt,8,6,85.63772725773282,90.02141268279571,0.18105291985427688,7.4073047377772845
20,PDL,False,Holt,9,2,26.796351984609355,29.931306558401467,0.06919807742371392,8.235934731743363
21,PDL,False,Holt,9,3,28.112758741663544,34.88209572209033,0.10101644373067183,8.721301187668924
22,PDL,False,Holt,9,4,25.75353972957905,31.225571883310035,0.08439106045927512,9.70214623350722
23,PDL,False,Holt,9,5,50.198092593527726,56.944962374221696,0.11727043360501628,7.643548941125216
24,PDL,False,Holt,9,6,87.52609424075814,92.13972640981969,0.17825384936590175,7.498091990184927
25,PDL,False,Holt,10,2,26.79635198460862,29.931306558400863,0.06919807742371281,8.235934731743347
26,PDL,False,Holt,10,3,28.112758741663423,34.88209572209046,0.10101644373067321,8.721301187668898
27,PDL,False,Holt,10,4,25.75353972949164,31.22557188319846,0.08439106045883797,9.702146233506788
28,PDL,False,Holt,10,5,50.56325405205979,61.1695564848815,0.13950678820270024,7.252096201873485
29,PDL,False,Holt,10,6,86.50230579338391,90.5218627965885,0.1665973108234268,7.4259831108673
30,PDL,False,Holt,11,2,26.796351984608048,29.931306558400387,0.06919807742371215,8.235934731743342
31,PDL,False,Holt,11,3,28.112758741666312,34.882095722093354,0.10101644373068111,8.721301187668924
