,region,with_gdp,trend_model,lag,periods,MAE,RMSE,Max_error,MASE
0,CVL,False,Holt,1,2,19.45924361492865,22.574894666893453,0.050039130363501744,10.312488210572974
1,CVL,False,Holt,1,3,16.20146189786334,20.233335393510792,0.06572375769274286,8.006178914649364
2,CVL,False,Holt,1,4,17.663470710873032,21.240537088030784,0.06374098594153527,9.9833207168118
3,CVL,False,Holt,1,5,18.481146202487313,21.201736870514843,0.05472825590424853,9.225411750181912
4,CVL,False,Holt,1,6,12.407040547860788,15.744161424018868,0.04401652513809463,15.524584495392231
5,CVL,False,Holt,2,2,19.262587279293964,23.020021874777033,0.05386360064823844,10.519458517011458
6,CVL,False,Holt,2,3,15.822235042682928,19.462972606008414,0.05723509379206354,8.00714852884155
7,CVL,False,Holt,2,4,17.857510285479346,21.456805525285414,0.06289656822010145,10.135887298337021
8,CVL,False,Holt,2,5,18.443003537661426,21.083698726895918,0.05464242205880117,9.216115702507608
9,CVL,False,Holt,2,6,12.521137731621726,15.910022742055572,0.04626713507636938,15.720722093802278
10,CVL,False,Holt,3,2,20.348748440757436,25.826741688012916,0.06574416742855137,10.952010827790573
11,CVL,False,Holt,3,3,16.187635386683862,20.392369904477178,0.06804914271402683,7.966079866337177
12,CVL,False,Holt,3,4,17.074345727412183,20.703994511679078,0.057620632590970874,10.112402569224386
13,CVL,False,Holt,3,5,18.326578649258792,21.773447726122924,0.06264070716230682,9.233273379047935
14,CVL,False,Holt,3,6,12.349781702581032,15.222624696225243,0.03917378866872844,16.137134158715654
15,CVL,False,Holt,4,2,20.34874844054843,25.826741689086123,0.06574416742746506,10.952010827753321
16,CVL,False,Holt,4,3,15.515549575370821,20.309622479840645,0.07243645414633679,8.117780765268595
17,CVL,False,Holt,4,4,16.27485729756206,20.125214737555112,0.059598855291904645,10.178113588511716
18,CVL,False,Holt,4,5,19.157847279638332,22.137727166088094,0.06043640180782746,9.331967296566948
19,CVL,False,Holt,4,6,12.207343811313569,14.089293251688288,0.030925263291972697,16.450794327546063
20,CVL,False,Holt,5,2,20.348748440539968,25.82674168908226,0.06574416742746365,10.952010827753274
21,CVL,False,Holt,5,3,19.97960302553436,25.19752384175226,0.08481644148459494,8.25219687028501
22,CVL,False,Holt,5,4,17.414822864253768,21.662018075732615,0.058634479479600696,10.430985946293406
23,CVL,False,Holt,5,5,19.496209426462272,22.114300603192756,0.05502154354004827,9.222121950750262
24,CVL,False,Holt,5,6,14.354099669036477,16.036725955932017,0.039699380694442704,16.546772297111772
25,CVL,False,Holt,6,2,20.34874844053859,25.826741689081462,0.06574416742746365,10.952010827753274
26,CVL,False,Holt,6,3,14.199671259723052,17.307369275339422,0.04610078985747208,8.981435029254452
27,CVL,False,Holt,6,4,22.38230107506972,26.26668246474618,0.08150980641748615,9.788682526705676
28,CVL,False,Holt,6,5,19.048889769692895,21.88522067165999,0.04817457571634916,9.441431134318423
29,CVL,False,Holt,6,6,13.434609299197035,15.238760931296486,0.04467880616216209,16.16971239394802
