"Libellé";"Nuitées dans l'hôtellerie - Total - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Total - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Total - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie - Total - Normandie";"Codes";"Nuitées dans l'hôtellerie - Total - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Total - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Total - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Total - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Total - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Total - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Total - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Total - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Total - Corse";"Codes"
"idBank";"001711043";"";"001711038";"";"001738997";"";"001739010";"";"001739022";"";"001739033";"";"001711049";"";"001711037";"";"001739045";"";"001739057";"";"001739069";"";"001711052";"";"001711040";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-06";"6595.34";"P";"638.56";"P";"729.07";"P";"829.98";"P";"860.0";"P";"1347.29";"P";"772.5";"P";"796.29";"P";"1520.47";"P";"1680.14";"P";"1998.17";"P";"2452.01";"P";"500.96";"P"
"2018-05";"6225.84";"A";"594.45";"A";"675.55";"A";"806.94";"A";"830.33";"A";"1296.1";"A";"691.32";"A";"772.65";"A";"1465.7";"A";"1578.36";"A";"1731.64";"A";"2122.39";"A";"400.42";"A"
"2018-04";"6091.3";"A";"520.62";"A";"560.53";"A";"699.7";"A";"797.16";"A";"1140.06";"A";"640.27";"A";"635.63";"A";"1285.36";"A";"1307.94";"A";"1777.28";"A";"1815.41";"A";"190.47";"A"
"2018-03";"5959.92";"A";"406.13";"A";"550.34";"A";"546.06";"A";"689.41";"A";"1028.16";"A";"519.03";"A";"532.7";"A";"1111.32";"A";"1014.47";"A";"2484.25";"A";"1533.5";"A";"50.5";"A"
"2018-02";"4689.9";"A";"313.12";"A";"445.21";"A";"426.66";"A";"570.55";"A";"849.5";"A";"447.08";"A";"411.0";"A";"792.86";"A";"824.03";"A";"2246.26";"A";"1160.96";"A";"31.91";"A"
"2018-01";"4940.47";"A";"300.76";"A";"385.38";"A";"363.35";"A";"570.14";"A";"798.82";"A";"412.66";"A";"381.0";"A";"730.63";"A";"726.53";"A";"1850.65";"A";"1028.21";"A";"26.88";"A"
"2017-12";"5636.91";"A";"340.56";"A";"432.92";"A";"424.48";"A";"652.83";"A";"1305.32";"A";"426.76";"A";"415.64";"A";"839.74";"A";"836.23";"A";"1725.25";"A";"1038.43";"A";"35.13";"A"
"2017-11";"5344.01";"A";"377.57";"A";"471.98";"A";"505.72";"A";"702.61";"A";"1036.71";"A";"485.82";"A";"488.47";"A";"949.19";"A";"847.34";"A";"1326.84";"A";"1120.95";"A";"46.21";"A"
"2017-10";"6199.86";"A";"500.96";"A";"609.3";"A";"658.58";"A";"800.96";"A";"1266.9";"A";"576.17";"A";"637.19";"A";"1383.63";"A";"1389.69";"A";"1616.6";"A";"1828.7";"A";"227.34";"A"
"2017-09";"6040.26";"A";"594.91";"A";"725.11";"A";"772.73";"A";"850.44";"A";"1371.82";"A";"700.65";"A";"815.28";"A";"1638.24";"A";"1776.25";"A";"1931.24";"A";"2367.31";"A";"551.19";"A"
"2017-08";"5694.74";"A";"738.31";"A";"834.17";"A";"979.76";"A";"856.48";"A";"1529.35";"A";"870.02";"A";"1131.36";"A";"2387.15";"A";"2426.26";"A";"2592.87";"A";"3365.52";"A";"681.86";"A"
"2017-07";"6589.61";"A";"738.93";"A";"868.2";"A";"898.04";"A";"872.17";"A";"1471.9";"A";"789.1";"A";"925.0";"A";"2030.02";"A";"2066.12";"A";"2559.15";"A";"3069.73";"A";"553.9";"A"
"2017-06";"6321.41";"A";"616.59";"A";"726.04";"A";"806.58";"A";"846.76";"A";"1332.53";"A";"739.39";"A";"797.38";"A";"1553.22";"A";"1627.95";"A";"2005.96";"A";"2385.55";"A";"489.95";"A"
"2017-05";"5943.71";"A";"563.95";"A";"652.1";"A";"751.7";"A";"802.53";"A";"1245.05";"A";"634.84";"A";"725.19";"A";"1417.63";"A";"1511.19";"A";"1666.94";"A";"2092.09";"A";"376.24";"A"
"2017-04";"5943.95";"A";"520.12";"A";"597.68";"A";"740.77";"A";"841.0";"A";"1192.97";"A";"636.35";"A";"690.09";"A";"1437.46";"A";"1389.54";"A";"1813.8";"A";"2011.76";"A";"195.89";"A"
