,date,daysoff
0,2010-01-01,11
1,2010-02-01,9
2,2010-03-01,9
3,2010-04-01,10
4,2010-05-01,12
5,2010-06-01,9
6,2010-07-01,11
7,2010-08-01,9
8,2010-09-01,9
9,2010-10-01,11
10,2010-11-01,10
11,2010-12-01,9
12,2011-01-01,10
13,2011-02-01,9
14,2011-03-01,9
15,2011-04-01,11
16,2011-05-01,9
17,2011-06-01,11
18,2011-07-01,12
19,2011-08-01,10
20,2011-09-01,9
21,2011-10-01,10
22,2011-11-01,10
23,2011-12-01,10
24,2012-01-01,9
25,2012-02-01,9
26,2012-03-01,10
27,2012-04-01,10
28,2012-05-01,12
29,2012-06-01,10
30,2012-07-01,9
31,2012-08-01,10
32,2012-09-01,10
33,2012-10-01,9
34,2012-11-01,9
35,2012-12-01,11
36,2013-01-01,9
37,2013-02-01,9
38,2013-03-01,11
39,2013-04-01,9
40,2013-05-01,12
41,2013-06-01,10
42,2013-07-01,9
43,2013-08-01,11
44,2013-09-01,9
45,2013-10-01,9
46,2013-11-01,11
47,2013-12-01,10
48,2014-01-01,9
49,2014-02-01,8
50,2014-03-01,10
51,2014-04-01,10
52,2014-05-01,12
53,2014-06-01,10
54,2014-07-01,10
55,2014-08-01,12
56,2014-09-01,9
57,2014-10-01,9
58,2014-11-01,11
59,2014-12-01,10
60,2015-01-01,10
61,2015-02-01,8
62,2015-03-01,9
63,2015-04-01,10
64,2015-05-01,14
65,2015-06-01,9
66,2015-07-01,10
67,2015-08-01,10
68,2015-09-01,9
69,2015-10-01,10
70,2015-11-01,10
71,2015-12-01,10
72,2016-01-01,11
73,2016-02-01,9
74,2016-03-01,10
75,2016-04-01,10
76,2016-05-01,11
77,2016-06-01,9
78,2016-07-01,12
79,2016-08-01,10
80,2016-09-01,9
81,2016-10-01,10
82,2016-11-01,10
83,2016-12-01,10
84,2017-01-01,9
85,2017-02-01,9
86,2017-03-01,9
87,2017-04-01,11
88,2017-05-01,11
89,2017-06-01,10
90,2017-07-01,11
91,2017-08-01,10
92,2017-09-01,10
93,2017-10-01,9
94,2017-11-01,9
95,2017-12-01,12
