,GDP_Auvergne-Rhône-Alpes,GDP_Bourgogne-Franche-Comté,GDP_Bretagne,GDP_Centre-Val de Loire,GDP_Corse,GDP_Grand Est,GDP_Hauts-de-France,GDP_Île-de-France,GDP_Normandie,GDP_Nouvelle-Aquitaine,GDP_Occitanie,GDP_Pays de la Loire,GDP_Provence-Alpes-Côte d'Azur
2010-01-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-02-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-03-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-04-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-05-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-06-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-07-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-08-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-09-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-10-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-11-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2010-12-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.739632211,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545532,143112.5758656397
2011-01-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-02-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-03-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-04-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-05-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-06-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-07-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-08-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-09-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-10-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-11-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2011-12-01,235357.207895897,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743883,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931996
2012-01-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-02-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-03-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-04-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-05-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-06-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-07-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-08-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-09-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-10-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
