"Libellé";"Nuitées dans l'hôtellerie - Total - Pays de la Loire";"Codes"
"idBank";"001711049";""
"Période";"";""
"2018-06";"772.5";"P"
"2018-05";"691.32";"A"
"2018-04";"640.27";"A"
"2018-03";"519.03";"A"
"2018-02";"447.08";"A"
"2018-01";"412.66";"A"
"2017-12";"426.76";"A"
"2017-11";"485.82";"A"
"2017-10";"576.17";"A"
"2017-09";"700.65";"A"
"2017-08";"870.02";"A"
"2017-07";"789.1";"A"
"2017-06";"739.39";"A"
"2017-05";"634.84";"A"
"2017-04";"636.35";"A"
"2017-03";"491.17";"A"
"2017-02";"401.3";"A"
"2017-01";"388.64";"A"
"2016-12";"407.55";"A"
"2016-11";"463.79";"A"
"2016-10";"575.7";"A"
"2016-09";"677.11";"A"
"2016-08";"872.86";"A"
"2016-07";"825.06";"A"
"2016-06";"715.97";"A"
"2016-05";"645.1";"A"
"2016-04";"580.11";"A"
"2016-03";"509.15";"A"
"2016-02";"411.32";"A"
"2016-01";"369.21";"A"
"2015-12";"383.49";"A"
"2015-11";"410.86";"A"
"2015-10";"531.69";"A"
"2015-09";"651.78";"A"
"2015-08";"848.25";"A"
"2015-07";"755.74";"A"
"2015-06";"705.55";"A"
"2015-05";"622.07";"A"
"2015-04";"554.29";"A"
"2015-03";"445.15";"A"
"2015-02";"366.47";"A"
"2015-01";"353.5";"A"
"2014-12";"357.8";"A"
"2014-11";"398.36";"A"
"2014-10";"499.34";"A"
"2014-09";"631.48";"A"
"2014-08";"805.67";"A"
"2014-07";"690.75";"A"
"2014-06";"689.25";"A"
"2014-05";"569.2";"A"
"2014-04";"517.23";"A"
"2014-03";"418.93";"A"
"2014-02";"372.01";"A"
"2014-01";"349.64";"A"
"2013-12";"341.04";"A"
"2013-11";"413.57";"A"
"2013-10";"510.77";"A"
"2013-09";"599.29";"A"
"2013-08";"820.79";"A"
"2013-07";"691.6";"A"
"2013-06";"666.94";"A"
"2013-05";"599.35";"A"
"2013-04";"482.5";"A"
"2013-03";"457.67";"A"
"2013-02";"378.96";"A"
"2013-01";"362.23";"A"
"2012-12";"360.08";"A"
"2012-11";"451.22";"A"
"2012-10";"494.23";"A"
"2012-09";"617.15";"A"
"2012-08";"765.58";"A"
"2012-07";"702.3";"A"
"2012-06";"671.76";"A"
"2012-05";"558.99";"A"
"2012-04";"511.99";"A"
"2012-03";"477.38";"A"
"2012-02";"386.71";"A"
"2012-01";"369.66";"A"
"2011-12";"373.97";"A"
"2011-11";"408.54";"A"
"2011-10";"536.64";"A"
"2011-09";"633.66";"A"
"2011-08";"747.56";"A"
"2011-07";"719.92";"A"
"2011-06";"719.86";"A"
"2011-05";"558.94";"A"
"2011-04";"545.52";"A"
"2011-03";"440.25";"A"
"2011-02";"380.41";"A"
"2011-01";"358.49";"A"
"2010-12";"353.42";"A"
"2010-11";"397.76";"A"
"2010-10";"476.64";"A"
"2010-09";"594.56";"A"
"2010-08";"736.27";"A"
"2010-07";"673.78";"A"
"2010-06";"639.38";"A"
"2010-05";"548.92";"A"
"2010-04";"500.07";"A"
"2010-03";"446.19";"A"
"2010-02";"343.87";"A"
"2010-01";"333.33";"A"
